date,partially_cleaned_text,sentiment,cleaned_text
18/6/21,This is a very healthy dog food. Good for their digestion. Also good for small puppies. My dog eats her required amount at every feeding.,1,healthy dog food good digestion also good small puppies dog eats required amount every feeding
7/7/21,I've been very pleased with the Natural Balance dog food. Our dogs have had issues with other dog foods in the past and I had someone recommend Natural Balance grain free since it is possible they were allergic to grains. Since switching I haven't had any issues. It is also helpful that have have different kibble size for larger/smaller sized dogs.,1,pleased natural balance dog food dogs issues dog foods past someone recommend natural balance grain free since possible allergic grains since switching issues also helpful different kibble size larger smaller sized dogs
18/6/21,"Before I was educated about feline nutrition, I allowed my cats to become addicted to dry cat food. I always offered both canned and dry, but wish I would have fed them premium quality canned food and limited dry food. I have two 15 year old cats and two 5 year old cats. The only good quality dry foods they will eat are Wellness and Innova. Innova's manufacturer was recently purchased by Procter&Gamble. I began looking for a replacement. After once again offering several samples (from my local holistic pet store) Holistic Select was the only one (other than the usual Wellness and Innova) they would eat. For finicky cats, I recommend trying Holistic Select. It is a good quality food that is very palatable for finicky eaters.",1,educated feline nutrition allowed cats become addicted dry cat food always offered canned dry wish would fed premium quality canned food limited dry food two year old cats two year old cats good quality dry foods eat wellness innova innova manufacturer recently purchased procter gamble began looking replacement offering several samples local holistic pet store holistic select one usual wellness innova would eat finicky cats recommend trying holistic select good quality food palatable finicky eaters
7/7/21,"My holistic vet recommended this, along with a few other brands. We tried them all, but my cats prefer this (especially the sardine version). The best part is their coats are so soft and clean and their eyes are so clear. AND (and I don't want to be rude, so I'll say this as delicately as I can) their waste is far less odorous than cats who eat the McDonalds junk found in most stores, which is a definite plus for me! The health benefits are so obvious - I highly recommend Holistic Select!",1,holistic vet recommended along brands tried cats prefer especially sardine version best part coats soft clean eyes clear want rude say delicately waste far less odorous cats eat mcdonalds junk found stores definite plus health benefits obvious highly recommend holistic select
1/7/21,"I bought this coffee because its much cheaper than the ganocafe and has the organic reishi mushroom as well as other healthy antioxidants. I didn't expect it to taste good, but it actually does! I've only had it for a few days and for $5 its totally worth it. My sisters all take ganocafe but now I'm introducing them to this less expensive similar coffee. I will follow up on this product in a few weeks. :)",1,bought coffee much cheaper ganocafe organic reishi mushroom well healthy antioxidants expect taste good actually days totally worth sisters take ganocafe introducing less expensive similar coffee follow product weeks
7/7/21,"Like the other people mentioned, this coffee has a great taste. I've tried different instant coffees before, but this one is one of the better ones. Another one of my favorites, if you want to try it out (though NOT organic), is 'Africafe pure instant coffee'",1,like people mentioned coffee great taste tried different instant coffees one one better ones another one favorites want try though organic africafe pure instant coffee
23/7/21,A good tasting light chip that has some value in nutrition. Everyone get the munchies....is this is a good alternative to eating potato chips!,1,good tasting light chip value nutrition everyone get munchies good alternative eating potato chips
20/7/21,"A grande item ! Delicious fish with the ultimate flavor, best ever in a can for all purposes ! I sent a case to my Mother recently diagnosed with Diabetes, and she loves it as a main entree for cooking patties !",1,grande item delicious fish ultimate flavor best ever purposes sent case mother recently diagnosed diabetes loves main entree cooking patties
19/7/21,"I ordered this product two times now and have been very happy with both the delivery and the product. It works great for cooking, baking and as a substitute sugar in my Chai lattes.",1,ordered product two times happy delivery product works great cooking baking substitute sugar chai lattes
18/6/21,"This stuff is great because it's low glycemic. Substitute this to sugar and you'll be doing your body a great favor. This size is economical and shipping is fast, too. I got mine very soon.",1,stuff great low glycemic substitute sugar body great favor size economical shipping fast got mine soon
7/7/21,These chips are the only ones I found to be tasty and healthy. They have fewer fat calories plus higher fiber for those who want good taste and nutrition--the perfect blend!,1,chips ones found tasty healthy fewer fat calories plus higher fiber want good taste nutrition perfect blend
27/6/21,"I used to buy these at the local supermarket, but they are no longer carried there. Finding them on Amazon I purchased a box and found they were fresh and delicious as I remembered. For chips they are also very healthy. I definately will buy them again.",1,used buy local supermarket longer carried finding amazon purchased box found fresh delicious remembered chips also healthy definately buy
21/7/21,"I've been feeding liver biscotti for years. I was looking for a healthy treat without additives for my epileptic dog (additives can be a seizure trigger) and liver biscotti filled the bill. The ingredients are top-quality. The bite-size bits are perfect for training and don't muck up your pockets. The bite-size portions also make it possible to give rewards without adding pounds, which is a problem with other treats. And for dogs with wheat and other sensitivities, there is an anti-allergenic recipe. Enthusiastically recommended!",1,feeding liver biscotti years looking healthy treat without additives epileptic dog additives seizure trigger liver biscotti filled bill ingredients top quality bite size bits perfect training muck pockets bite size portions also make possible give rewards without adding pounds problem treats dogs wheat sensitivities anti allergenic recipe enthusiastically recommended
18/6/21,"I got these for my gf as she isn't supposed to eat any gluten. All of the flavors taste great and they seem to be much healthier than regular potato chips. If you are looking for a gluten-free snack, I highly recommend Popchips!",1,got gf supposed eat gluten flavors taste great seem much healthier regular potato chips looking gluten free snack highly recommend popchips
7/7/21,"I have a free sampling of these chips and I can see me swapping them for my regular chip cravings. They remind me of Munchos, but are less greasy. Try them.",1,free sampling chips see swapping regular chip cravings remind munchos less greasy try
30/6/21,"I tried this chips in a hotel that I stayed at, and loved them! I ordered them for the office and everyone enjoyed them. I'm on my second order!",1,tried chips hotel stayed loved ordered office everyone enjoyed second order
1/7/21,"I absolutely love Pop Chips as a healthy alternative to regular, fatty chips. The Seat Salt and Pepper and the Sour Cream and Onion are my favorites. I don't crave regular chips at all!",1,absolutely love pop chips healthy alternative regular fatty chips seat salt pepper sour cream onion favorites crave regular chips
24/8/21,"I picked up a few bags of these at my local HEB and couldnt help but consume half of a bag in a day. The entire stock didnt last even a week for me. Many chips say they have a bold flavor but they never deliver. These, however, do. I tried the Garlic Parmessan chips and the first things I thought was how strong and delicious the parmessan was.. shortly followed by a garlic flavor. Combined with a sharp crunch, I cannot have enough of these chips. I'm almost afraid to buy a 24 pack because I know they won't last a month. It also helps that these things are pretty healthy for you. I mean, they are a potato crisp so you can't be entirely guilt-free... but I don't knock myself for going to town. I just avoid the potato chip aisle these are on when I need to lay low on the snack foods ;)",1,picked bags local heb could help consume half bag day entire stock last even week many chips say bold flavor never deliver however tried garlic parmessan chips first things thought strong delicious parmessan shortly followed garlic flavor combined sharp crunch cannot enough chips almost afraid buy pack know last month also helps things pretty healthy mean potato crisp cannot entirely guilt free knock going town avoid potato chip aisle need lay low snack foods
21/7/21,I love these chips! They always make a great healthy snack when I'm stuck at work with just the vending machine for sustenance.,1,love chips always make great healthy snack stuck work vending machine sustenance
25/6/21,"The 'Sun Chips' are an OK substitute for the usual potato, corn, whatever chip cooked in oil and over salted. They are not nearly as un-palatable as I thought they would be. Have added them to my 'heart healthy' diet regime. All are good except for the 'multi-grain' style, which has the texture of a sheet of plywood.",1,sun chips ok substitute usual potato corn whatever chip cooked oil salted nearly un palatable thought would added heart healthy diet regime good except multi grain style texture sheet plywood
13/9/21,"This chips are really good and it's fun getting the variety pack. Now, are they as good as ""regular"" chips? Probably not, but they're also not nearly as fattening and bad for you as regular chips. Given that these are a healthier version if you want chips, I would highly recommend them!",1,chips really good fun getting variety pack good regular chips probably also nearly fattening bad regular chips given healthier version want chips would highly recommend
18/6/21,"Tried the BBQ Popchips for the first time and loved them so got the value pack to try more flavors. Loved them all except the salt and pepper chips which weren't that great. Good healthy snack without giving up the taste. So glad I discovered these! Salt and vinegar are my favorite! 100 cal/bag, 3.5g fat/bag",1,tried bbq popchips first time loved got value pack try flavors loved except salt pepper chips great good healthy snack without giving taste glad discovered salt vinegar favorite cal bag g fat bag
